13,16,15,10,16,24,18,17,9,12,45,29,53,16,15,16,18,16,16,16,18,16,16,18,1
10,17,12,8,17,17,24,17,13,21,46,31,31,18,16,16,22,22,29,20,13,15,18,18,2
7,17,17,9,17,23,20,16,17,13,46,34,37,25,18,18,20,20,19,16,15,23,16,11,1
15,14,14,12,14,22,20,22,22,23,47,53,57,7,7,8,8,8,8,8,8,8,8,8,2
14,13,14,7,16,24,12,16,9,13,48,41,57,27,27,22,28,6,11,4,13,16,7,18,2
12,16,18,7,12,21,21,17,12,12,30,36,38,16,16,16,16,16,16,16,16,16,16,16,2
8,16,15,7,18,20,18,13,7,12,45,20,43,19,19,17,22,16,16,7,16,16,4,10,1
7,13,11,8,14,18,15,16,18,16,30,36,38,17,17,18,15,18,17,17,15,17,14,16,2
15,16,10,12,15,20,20,17,17,17,46,39,38,28,28,28,28,28,10,9,28,28,8,28,2
12,17,18,5,17,21,20,16,7,13,42,29,43,24,20,22,12,12,20,20,20,22,22,22,1
11,20,14,13,18,23,15,20,7,17,46,21,43,24,22,28,25,8,12,5,17,16,11,13,2
9,13,19,16,11,23,20,22,10,14,39,35,43,22,16,16,16,16,12,16,16,19,14,16,2
14,19,13,10,17,23,11,18,7,13,40,25,38,16,19,21,21,12,8,5,23,15,8,19,1
9,13,16,5,16,18,17,16,10,18,38,34,42,16,20,20,20,14,20,16,16,18,18,16,2
20,20,11,8,14,20,24,20,10,19,48,26,47,21,20,27,5,11,8,4,4,20,4,13,2
11,16,20,10,15,21,20,15,7,15,35,37,37,11,24,20,19,16,13,16,18,16,17,16,2
11,15,17,10,14,19,18,19,11,18,43,33,37,21,24,12,15,11,14,10,18,18,14,17,2
12,16,18,4,11,20,21,18,8,13,40,23,43,21,23,22,14,9,9,9,20,23,10,12,2
11,18,14,10,15,24,11,24,14,11,48,43,58,22,28,27,14,7,18,14,28,25,4,6,1
10,13,12,14,9,22,18,23,11,17,38,29,38,16,16,16,16,16,16,10,10,10,10,10,2
8,14,16,9,18,21,15,14,5,13,48,26,29,28,28,23,19,22,10,10,20,22,14,14,2
11,10,13,9,17,19,21,17,6,18,44,28,31,10,10,11,17,14,16,5,4,16,4,9,2
12,18,20,10,15,25,17,19,7,16,45,29,43,28,28,28,28,26,16,16,28,28,20,14,2
18,14,19,5,14,24,16,18,6,15,44,30,54,18,12,19,20,10,8,8,8,28,11,14,1
10,19,18,11,17,21,16,14,5,15,44,33,41,10,28,28,28,26,22,25,28,28,4,26,1
10,13,17,13,19,23,12,17,10,10,49,36,43,21,18,26,10,22,11,15,13,23,11,13,2
10,11,13,15,16,16,19,14,5,17,37,24,42,18,17,18,19,14,16,18,25,23,11,23,1
10,13,18,10,13,24,17,8,8,11,42,28,31,28,28,28,28,23,24,16,28,28,16,15,2
17,12,15,14,16,21,17,19,11,13,45,28,33,25,25,25,22,16,16,21,25,24,19,22,2
14,13,14,8,14,20,18,17,10,14,40,22,38,23,25,20,22,21,23,8,19,24,8,14,2
15,7,18,5,4,22,21,14,8,12,44,22,42,21,27,16,20,16,11,10,16,15,8,15,2
11,16,16,10,20,22,20,19,12,20,42,36,53,25,25,25,12,11,14,11,19,22,7,11,1
16,15,17,11,15,23,22,13,10,9,41,31,53,22,22,22,16,15,17,18,22,19,18,18,2
10,14,16,10,16,20,20,14,12,14,39,36,40,18,19,19,17,17,19,15,21,19,15,15,2
14,15,11,10,14,20,18,18,13,19,46,44,40,14,22,13,23,13,12,11,6,16,9,12,2
10,15,18,5,11,17,15,11,14,15,37,27,30,9,9,8,10,10,7,12,8,10,13,12,1
13,19,20,8,20,24,19,15,5,6,43,21,27,28,16,16,28,16,16,16,16,16,16,16,2
7,11,13,13,12,22,20,18,12,18,38,46,35,16,24,24,18,22,24,18,16,22,16,14,2
10,16,18,11,15,20,11,16,16,10,40,37,38,18,18,25,19,16,16,12,22,21,16,19,2
9,12,16,12,11,20,17,12,10,10,29,29,30,16,17,20,15,16,16,19,17,16,16,16,1
15,17,13,8,15,16,18,17,8,24,44,26,30,26,20,15,23,14,4,4,18,22,20,17,1
15,14,17,10,12,18,14,14,7,10,37,29,37,25,25,25,18,22,14,19,22,23,8,22,1
18,16,12,7,18,25,16,15,9,12,50,27,60,16,28,14,14,16,16,16,22,13,16,11,1
6,14,14,7,18,20,18,18,10,11,32,38,39,18,18,16,17,16,16,14,16,16,16,16,2
4,11,14,9,14,19,20,19,8,15,30,34,35,16,16,16,16,16,16,16,16,16,16,16,2
11,17,15,11,18,20,15,21,9,12,45,41,43,26,24,25,16,14,11,9,21,21,8,22,1
10,18,15,14,14,21,24,18,13,17,46,36,53,24,28,23,21,16,16,10,28,28,12,24,1
14,10,19,7,13,19,12,17,6,10,47,33,22,17,17,16,15,14,7,7,9,22,11,9,2
11,18,11,9,17,16,20,17,12,18,46,36,43,21,24,21,19,22,12,10,15,20,16,16,2
8,14,10,8,16,21,18,17,10,12,41,30,42,24,20,20,20,23,10,16,15,20,12,14,2
5,18,8,11,18,25,21,18,13,15,50,50,56,16,16,16,16,16,16,16,16,16,16,16,1
7,11,19,20,16,19,18,10,5,22,45,23,27,22,22,22,18,13,16,16,22,22,16,16,2
15,15,14,14,14,19,17,14,11,14,33,30,36,20,21,17,20,20,16,22,20,20,12,20,2
15,20,17,5,16,23,17,19,5,11,47,26,48,14,14,12,15,11,10,4,6,8,4,11,2
18,16,17,6,16,18,10,14,7,7,42,31,45,20,20,22,18,19,16,16,22,22,20,20,2
16,19,19,9,17,21,19,17,7,17,49,34,49,22,22,22,16,12,17,22,24,17,16,22,2
5,14,20,20,18,20,14,12,9,10,36,33,37,28,28,26,17,18,12,10,20,25,10,13,2
13,16,12,14,8,25,23,22,18,22,45,47,41,21,16,16,23,21,15,16,17,21,19,21,2
